internship_id,job_title,job_type,company_name,sector,description,required_skills,preferred_education,eligible_branches,cities,states,location_type,stipend,start_date,duration_months,number_of_openings,last_date_to_apply,work_mode,minimum_qualification,experience_required
SIH2026-0011,Healthcare Operations Intern,Internship,Pragati Networks Gaya,Healthcare,"Synthetic 2-month healthcare operations intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gaya.","[""Communication"", ""MS Excel"", ""Documentation""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Gaya,Bihar,Hybrid,13500,2026-10-31,2,12,2026-09-30,Hybrid,Graduate,No prior experience required
SIH2026-0012,Agriculture Extension Intern,Internship,Navbharat Industries Kochi,Agriculture,"Synthetic 3-month agriculture extension intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kochi.","[""Agriculture"", ""Field Survey"", ""MS Excel""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Kochi,Kerala,On-site,14250,2026-11-03,3,13,2026-10-02,In-office,Diploma,No prior experience required
SIH2026-0013,Solar Project Intern,Internship,Sampurna Initiatives Jammu,Renewable Energy,"Synthetic 3-month solar project intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jammu.","[""Solar Energy"", ""MS Excel"", ""AutoCAD"", ""Data Analysis""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Jammu,Jammu and Kashmir,On-site,17000,2026-11-06,3,14,2026-10-04,In-office,Diploma,No prior experience required
SIH2026-0014,Education Programme Intern,Internship,Udaan Projects Port Blair,Education,"Synthetic 4-month education programme intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Port Blair.","[""Communication"", ""Content Writing"", ""MS Excel""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Port Blair,Andaman and Nicobar Islands,On-site,15750,2026-11-09,4,15,2026-10-06,In-office,Graduate,No prior experience required
SIH2026-0015,Public Administration Intern,Internship,Saksham Services Nagpur,Government,"Synthetic 6-month public administration intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""MS Excel"", ""Communication"", ""Documentation""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Nagpur,Maharashtra,On-site,16500,2026-11-12,6,16,2026-10-08,In-office,Graduate,No prior experience required
SIH2026-0016,MIS Intern,Internship,Nayi Disha Enterprises Varanasi,E-Governance,"Synthetic 2-month mis intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Varanasi.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Varanasi,Uttar Pradesh,Hybrid,17250,2026-11-15,2,17,2026-10-10,Hybrid,Diploma,No prior experience required
SIH2026-0017,Tourism Operations Intern,Internship,JanMitra Solutions Siliguri,Tourism,"Synthetic 3-month tourism operations intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Siliguri.","[""Customer Service"", ""Communication"", ""MS Excel"", ""Tourism Operations""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Siliguri,West Bengal,On-site,18000,2026-11-18,3,18,2026-10-12,In-office,Diploma,0-1 years preferred
SIH2026-0018,Logistics Coordinator Intern,Internship,Aarambh Technologies Bhopal,Logistics,"Synthetic 3-month logistics coordinator intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""MS Excel"", ""Inventory Management"", ""Communication""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Bhopal,Madhya Pradesh,Remote,18750,2026-11-21,3,19,2026-10-14,Remote,Diploma,No prior experience required
SIH2026-0019,Market Research Intern,Internship,Vikas Networks Shillong,Marketing,"Synthetic 4-month market research intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""Digital Marketing"", ""Content Writing"", ""Communication""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Shillong,Meghalaya,On-site,19500,2026-11-24,4,20,2026-10-16,In-office,Diploma,No prior experience required
SIH2026-0020,Human Resources Intern,Internship,BharatSetu Industries Chandigarh,HR,"Synthetic 6-month human resources intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Chandigarh,Chandigarh,On-site,20250,2026-11-27,6,21,2026-10-18,In-office,Graduate,No prior experience required
SIH2026-0021,Rural Development Intern,Internship,Pragati Initiatives Hyderabad,Rural Development,"Synthetic 2-month rural development intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""Field Survey"", ""Communication"", ""Data Collection"", ""MS Excel""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Hyderabad,Telangana,Hybrid,21000,2026-11-30,2,22,2026-10-20,Hybrid,Diploma,No prior experience required
SIH2026-0022,Urban Planning Intern,Internship,Navbharat Projects Madurai,Infrastructure,"Synthetic 3-month urban planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""AutoCAD"", ""MS Excel"", ""Documentation""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Madurai,Tamil Nadu,On-site,23750,2026-12-03,3,23,2026-10-22,In-office,Diploma,No prior experience required
SIH2026-0023,Telecom Network Intern,Internship,Sampurna Services Ahmedabad,Telecommunications,"Synthetic 3-month telecom network intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Ahmedabad,Gujarat,On-site,24500,2026-12-06,3,24,2026-10-24,In-office,Diploma,No prior experience required
SIH2026-0024,IT Support Intern,Internship,Udaan Enterprises Gaya,IT,"Synthetic 4-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gaya.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Gaya,Bihar,On-site,25250,2026-12-09,4,25,2026-10-26,In-office,Graduate,No prior experience required
SIH2026-0025,Frontend Development,Internship,Saksham Solutions Kochi,Software Development,"Synthetic 6-month frontend development opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kochi.","[""Python"", ""JavaScript"", ""React"", ""SQL""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Kochi,Kerala,On-site,8000,2026-12-12,6,2,2026-10-28,In-office,Graduate,0-1 years preferred
SIH2026-0026,Data Analytics Intern,Internship,Nayi Disha Technologies Jammu,Data Science,"Synthetic 2-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jammu.","[""Python"", ""SQL"", ""MS Excel""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Jammu,Jammu and Kashmir,Hybrid,8750,2026-12-15,2,3,2026-11-24,Hybrid,Graduate,No prior experience required
SIH2026-0027,Machine Learning Intern,Internship,JanMitra Networks Port Blair,AI/ML,"Synthetic 3-month machine learning intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Port Blair.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Port Blair,Andaman and Nicobar Islands,On-site,9500,2026-12-18,3,4,2026-11-26,In-office,Graduate,No prior experience required
SIH2026-0028,SOC Analyst Intern,Internship,Aarambh Industries Nagpur,Cybersecurity,"Synthetic 3-month soc analyst intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Nagpur,Maharashtra,On-site,10250,2026-12-21,3,5,2026-11-28,In-office,Graduate,No prior experience required
SIH2026-0029,Electronics Design Intern,Internship,Vikas Initiatives Varanasi,Electronics,"Synthetic 4-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Varanasi.","[""Embedded C"", ""Microcontrollers"", ""PCB Design"", ""Arduino""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Varanasi,Uttar Pradesh,On-site,11000,2026-12-24,4,6,2026-11-30,In-office,Diploma,No prior experience required
SIH2026-0030,Manufacturing Operations Intern,Internship,BharatSetu Projects Siliguri,Manufacturing,"Synthetic 6-month manufacturing operations intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Siliguri.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Siliguri,West Bengal,On-site,11750,2026-12-27,6,7,2026-12-02,In-office,Diploma,No prior experience required
SIH2026-0031,EV Systems Intern,Internship,Pragati Services Bhopal,Automobile,"Synthetic 2-month ev systems intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Bhopal,Madhya Pradesh,Hybrid,12500,2026-12-30,2,8,2026-12-04,Hybrid,Diploma,No prior experience required
SIH2026-0032,Finance Operations Intern,Internship,Navbharat Enterprises Shillong,Finance,"Synthetic 3-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Shillong,Meghalaya,On-site,11250,2027-01-02,3,9,2026-12-06,In-office,Graduate,No prior experience required
SIH2026-0033,Banking Services Intern,Internship,Sampurna Solutions Chandigarh,Banking,"Synthetic 3-month banking services intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""MS Excel"", ""Customer Service"", ""KYC"", ""Communication""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Chandigarh,Chandigarh,On-site,12000,2027-01-05,3,10,2026-12-08,In-office,Graduate,0-1 years preferred
SIH2026-0034,Hospital Administration Intern,Internship,Udaan Technologies Hyderabad,Healthcare,"Synthetic 4-month hospital administration intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""Communication"", ""MS Excel"", ""Documentation""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Hyderabad,Telangana,On-site,12750,2027-01-08,4,11,2026-12-10,In-office,Graduate,No prior experience required
SIH2026-0035,Agriculture Extension Intern,Internship,Saksham Networks Madurai,Agriculture,"Synthetic 6-month agriculture extension intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""Agriculture"", ""Field Survey"", ""MS Excel""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Madurai,Tamil Nadu,Remote,13500,2027-01-11,6,12,2026-12-12,Remote,Diploma,No prior experience required
SIH2026-0036,Renewable Energy Intern,Internship,Nayi Disha Industries Ahmedabad,Renewable Energy,"Synthetic 2-month renewable energy intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""Solar Energy"", ""MS Excel"", ""AutoCAD""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Ahmedabad,Gujarat,Hybrid,16250,2027-01-14,2,13,2026-12-14,Hybrid,Diploma,No prior experience required
SIH2026-0037,Curriculum Support Intern,Internship,JanMitra Initiatives Patna,Education,"Synthetic 3-month curriculum support intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Patna.","[""Communication"", ""Content Writing"", ""MS Excel"", ""Teaching""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Patna,Bihar,On-site,15000,2027-01-17,3,14,2026-12-16,In-office,Graduate,No prior experience required
SIH2026-0038,Public Administration Intern,Internship,Aarambh Projects Bilaspur,Government,"Synthetic 3-month public administration intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""MS Excel"", ""Communication"", ""Documentation""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Bilaspur,Chhattisgarh,On-site,15750,2027-01-20,3,15,2026-12-18,In-office,Graduate,No prior experience required
SIH2026-0039,E-Governance Support Intern,Internship,Vikas Services Srinagar,E-Governance,"Synthetic 4-month e-governance support intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Srinagar.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Srinagar,Jammu and Kashmir,On-site,16500,2027-01-23,4,16,2026-12-20,In-office,Diploma,No prior experience required
SIH2026-0040,Heritage Tourism Intern,Internship,BharatSetu Enterprises Panaji,Tourism,"Synthetic 6-month heritage tourism intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Panaji.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Panaji,Goa,On-site,17250,2027-01-26,6,17,2026-12-22,In-office,Diploma,No prior experience required
SIH2026-0041,Logistics Coordinator Intern,Internship,Pragati Solutions Mumbai,Logistics,"Synthetic 2-month logistics coordinator intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mumbai.","[""MS Excel"", ""Inventory Management"", ""Communication"", ""Data Analysis""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Mumbai,Maharashtra,Hybrid,18000,2027-01-29,2,18,2026-12-24,Hybrid,Diploma,0-1 years preferred
SIH2026-0042,Digital Marketing Intern,Internship,Navbharat Technologies Lucknow,Marketing,"Synthetic 3-month digital marketing intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Lucknow.","[""Digital Marketing"", ""Content Writing"", ""Communication""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Lucknow,Uttar Pradesh,On-site,18750,2027-02-01,3,19,2026-12-26,In-office,Diploma,No prior experience required
SIH2026-0043,Talent Acquisition Intern,Internship,Sampurna Networks Kolkata,HR,"Synthetic 3-month talent acquisition intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kolkata.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Kolkata,West Bengal,On-site,19500,2027-02-04,3,20,2026-12-28,In-office,Graduate,No prior experience required
SIH2026-0044,Rural Development Intern,Internship,Udaan Industries Jamshedpur,Rural Development,"Synthetic 4-month rural development intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jamshedpur.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Jamshedpur,Jharkhand,On-site,20250,2027-02-07,4,21,2026-12-30,In-office,Diploma,No prior experience required
SIH2026-0045,Infrastructure Planning Intern,Internship,Saksham Initiatives Guwahati,Infrastructure,"Synthetic 6-month infrastructure planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Guwahati.","[""AutoCAD"", ""MS Excel"", ""Documentation"", ""Site Survey""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Guwahati,Assam,On-site,23000,2027-02-10,6,22,2027-01-01,In-office,Diploma,No prior experience required
SIH2026-0046,Network Operations Intern,Internship,Nayi Disha Projects Shimla,Telecommunications,"Synthetic 2-month network operations intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shimla.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Shimla,Himachal Pradesh,Hybrid,23750,2027-02-13,2,23,2027-01-03,Hybrid,Diploma,No prior experience required
SIH2026-0047,IT Support Intern,Internship,JanMitra Services Hyderabad,IT,"Synthetic 3-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Hyderabad,Telangana,On-site,24500,2027-02-16,3,24,2027-01-05,In-office,Graduate,No prior experience required
SIH2026-0048,Software Development Intern,Internship,Aarambh Enterprises Madurai,Software Development,"Synthetic 3-month software development intern opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Madurai,Tamil Nadu,On-site,25250,2027-02-19,3,25,2027-01-07,In-office,Graduate,No prior experience required
SIH2026-0049,Data Analyst,Internship,Vikas Solutions Ahmedabad,Data Science,"Synthetic 4-month data analyst opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""Python"", ""SQL"", ""MS Excel"", ""Data Analysis""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Ahmedabad,Gujarat,On-site,8000,2027-02-22,4,2,2027-01-09,In-office,Graduate,0-1 years preferred
SIH2026-0050,Machine Learning Intern,Internship,BharatSetu Technologies Patna,AI/ML,"Synthetic 6-month machine learning intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Patna.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Patna,Bihar,On-site,8750,2027-02-25,6,3,2027-01-11,In-office,Graduate,No prior experience required
SIH2026-0051,Cybersecurity Intern,Internship,Pragati Networks Bilaspur,Cybersecurity,"Synthetic 2-month cybersecurity intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Bilaspur,Chhattisgarh,Hybrid,9500,2027-02-28,2,4,2027-02-07,Hybrid,Graduate,No prior experience required
SIH2026-0052,PCB Design Intern,Internship,Navbharat Industries Srinagar,Electronics,"Synthetic 3-month pcb design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Srinagar.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Srinagar,Jammu and Kashmir,Remote,10250,2027-03-03,3,5,2027-02-09,Remote,Diploma,No prior experience required
SIH2026-0053,Manufacturing Operations Intern,Internship,Sampurna Initiatives Panaji,Manufacturing,"Synthetic 3-month manufacturing operations intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Panaji.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing"", ""Documentation""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Panaji,Goa,On-site,11000,2027-03-06,3,6,2027-02-11,In-office,Diploma,No prior experience required
SIH2026-0054,Automobile Service Intern,Internship,Udaan Projects Mumbai,Automobile,"Synthetic 4-month automobile service intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mumbai.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Mumbai,Maharashtra,On-site,11750,2027-03-09,4,7,2027-02-13,In-office,Diploma,No prior experience required
SIH2026-0055,Financial Analysis Intern,Internship,Saksham Services Lucknow,Finance,"Synthetic 6-month financial analysis intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Lucknow.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Lucknow,Uttar Pradesh,On-site,10500,2027-03-12,6,8,2027-02-15,In-office,Graduate,No prior experience required
SIH2026-0056,Banking Services Intern,Internship,Nayi Disha Enterprises Kolkata,Banking,"Synthetic 2-month banking services intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kolkata.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Kolkata,West Bengal,Hybrid,11250,2027-03-15,2,9,2027-02-17,Hybrid,Graduate,No prior experience required
