candidate_id,education_level,degree,branch,graduation_year,cgpa,skills,interests,preferred_sectors,preferred_states,preferred_cities,preferred_location_type,preferred_duration,experience_level,languages,disability_preference,rural_or_urban
CAND2026-00016,Undergraduate,BA,Social Work,2026,5.8,"[""Field Survey"", ""Community Engagement"", ""Communication"", ""Data Collection""]","[""Rural Development"", ""Education"", ""Healthcare""]","[""Rural Development"", ""Education"", ""Healthcare"", ""Government""]","[""Andhra Pradesh""]","[""Visakhapatnam""]",On-site,2,Academic project experience,"[""Hindi"", ""English"", ""Telugu""]",No preference,Rural
CAND2026-00017,Undergraduate,B.Sc.,Nursing,2027,7.1,"[""Patient Support"", ""Documentation"", ""Communication"", ""MS Excel""]","[""Healthcare"", ""Public Health""]","[""Healthcare"", ""Government"", ""Education""]","[""Tamil Nadu"", ""Uttar Pradesh""]","[""Coimbatore"", ""Varanasi""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Tamil""]",No preference,Rural
CAND2026-00018,Undergraduate,BA,Tourism,2028,8.4,"[""Customer Service"", ""Communication"", ""Tourism Operations"", ""Content Writing"", ""MS Excel"", ""Documentation""]","[""Tourism"", ""Hospitality"", ""Marketing""]","[""Tourism"", ""Marketing"", ""Logistics""]","[""West Bengal""]","[""Siliguri""]",Remote,3,No prior experience,"[""English"", ""Hindi"", ""Bengali""]",No preference,Urban
CAND2026-00019,Undergraduate,B.Tech,Computer Science,2026,5.8,"[""Python"", ""SQL"", ""Data Analysis"", ""Git"", ""React"", ""Machine Learning""]","[""Data Science"", ""Software Development"", ""AI/ML""]","[""IT"", ""Software Development"", ""Data Science"", ""AI/ML""]","[""Assam""]","[""Guwahati""]",On-site,4,Academic project experience,"[""English"", ""Hindi"", ""Assamese""]",No preference,Urban
CAND2026-00020,Undergraduate,B.Tech,Information Technology,2027,7.1,"[""Python"", ""JavaScript"", ""React"", ""SQL"", ""Networking"", ""Git""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Karnataka""]","[""Bengaluru""]",Hybrid,6,No prior experience,"[""English"", ""Hindi"", ""Kannada""]",No preference,Urban
CAND2026-00021,Undergraduate,B.Tech,Artificial Intelligence,2028,8.4,"[""Python"", ""Machine Learning""]","[""AI/ML"", ""Data Science""]","[""AI/ML"", ""Data Science"", ""Software Development""]","[""Uttar Pradesh"", ""Rajasthan""]","[""Noida"", ""Udaipur""]",On-site,2,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00022,Undergraduate,B.Tech,Mechanical Engineering,2026,5.8,"[""AutoCAD"", ""SolidWorks""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Bihar""]","[""Patna""]",Hybrid,3,Academic project experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00023,Undergraduate,B.Tech,Automobile Engineering,2027,7.1,"[""Automobile Engineering"", ""Diagnostics""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Tripura""]","[""Agartala""]",Remote,3,0-1 internship experience,"[""English"", ""Hindi"", ""Bengali""]",No preference,Urban
CAND2026-00024,Undergraduate,B.Tech,Electronics and Communication,2028,8.4,"[""Embedded C"", ""Microcontrollers"", ""Networking"", ""PCB Design""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Telangana""]","[""Hyderabad""]",On-site,4,No prior experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Urban
CAND2026-00025,Undergraduate,B.Tech,Electrical Engineering,2026,5.8,"[""Electrical Safety"", ""Solar Energy"", ""AutoCAD"", ""MS Excel""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Uttar Pradesh"", ""Gujarat""]","[""Varanasi"", ""Surat""]",Hybrid,6,Academic project experience,"[""English"", ""Hindi""]",Accessible workplace preferred,Urban
CAND2026-00026,Undergraduate,B.Com,Commerce,2027,7.1,"[""MS Excel"", ""Accounting"", ""Tally"", ""Financial Analysis""]","[""Finance"", ""Accounting"", ""Banking""]","[""Finance"", ""Banking"", ""Marketing""]","[""Jharkhand""]","[""Ranchi""]",On-site,2,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00027,Undergraduate,BBA,Business Administration,2028,8.4,"[""MS Excel"", ""Communication"", ""Financial Analysis"", ""Digital Marketing""]","[""Finance"", ""Marketing"", ""HR""]","[""Finance"", ""Marketing"", ""HR"", ""Logistics""]","[""Jammu and Kashmir""]","[""Srinagar""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Urdu""]",No preference,Rural
CAND2026-00028,Undergraduate,B.Sc.,Agriculture,2026,5.8,"[""Agriculture"", ""Field Survey"", ""Data Collection"", ""MS Excel"", ""Community Engagement"", ""Communication""]","[""Agriculture Technology"", ""Rural Development"", ""Sustainability""]","[""Agriculture"", ""Rural Development"", ""Renewable Energy""]","[""Maharashtra""]","[""Pune""]",Remote,3,Academic project experience,"[""English"", ""Hindi"", ""Marathi""]",No preference,Urban
CAND2026-00029,Undergraduate,B.Sc.,Data Science,2027,7.1,"[""Python"", ""SQL"", ""Data Analysis"", ""Power BI"", ""Pandas"", ""MS Excel""]","[""Data Science"", ""Business Intelligence"", ""AI/ML""]","[""Data Science"", ""AI/ML"", ""IT""]","[""Rajasthan"", ""West Bengal""]","[""Udaipur"", ""Siliguri""]",On-site,4,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00030,Undergraduate,BCA,Computer Applications,2028,8.4,"[""Python"", ""JavaScript"", ""SQL"", ""React"", ""MS Excel"", ""Git""]","[""Software Development"", ""IT"", ""Data Science""]","[""Software Development"", ""IT"", ""Data Science""]","[""Madhya Pradesh""]","[""Bhopal""]",Hybrid,6,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00031,Diploma,Diploma,Civil Engineering,2027,8.1,"[""AutoCAD"", ""Site Survey""]","[""Infrastructure"", ""Construction"", ""Urban Development""]","[""Infrastructure"", ""Manufacturing"", ""Renewable Energy""]","[""Himachal Pradesh""]","[""Shimla""]",On-site,2,Academic project experience,"[""Hindi"", ""English""]",No preference,Rural
CAND2026-00032,Diploma,Diploma,Electrical Engineering,2028,9.2,"[""Electrical Safety"", ""Solar Energy""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Telecommunications""]","[""Maharashtra""]","[""Mumbai""]",Hybrid,3,No prior experience,"[""Hindi"", ""English"", ""Marathi""]",No preference,Rural
CAND2026-00033,Undergraduate,BA,Public Administration,2028,8.4,"[""MS Excel"", ""Documentation""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Gujarat"", ""Odisha""]","[""Surat"", ""Cuttack""]",Remote,3,No prior experience,"[""Hindi"", ""English"", ""Gujarati""]",No preference,Urban
CAND2026-00034,Undergraduate,BA,Social Work,2026,5.8,"[""Field Survey"", ""Community Engagement"", ""Communication"", ""Data Collection""]","[""Rural Development"", ""Education"", ""Healthcare""]","[""Rural Development"", ""Education"", ""Healthcare"", ""Government""]","[""Chhattisgarh""]","[""Raipur""]",On-site,4,0-1 internship experience,"[""Hindi"", ""English""]",No preference,Urban
CAND2026-00035,Undergraduate,B.Sc.,Nursing,2027,7.1,"[""Patient Support"", ""Documentation"", ""Communication"", ""MS Excel""]","[""Healthcare"", ""Public Health""]","[""Healthcare"", ""Government"", ""Education""]","[""Andhra Pradesh""]","[""Visakhapatnam""]",Hybrid,6,No prior experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Urban
CAND2026-00036,Undergraduate,BA,Tourism,2028,8.4,"[""Customer Service"", ""Communication"", ""Tourism Operations"", ""Content Writing""]","[""Tourism"", ""Hospitality"", ""Marketing""]","[""Tourism"", ""Marketing"", ""Logistics""]","[""Tamil Nadu""]","[""Coimbatore""]",On-site,2,No prior experience,"[""English"", ""Hindi"", ""Tamil""]",No preference,Rural
CAND2026-00037,Undergraduate,B.Tech,Computer Science,2026,5.8,"[""Python"", ""SQL"", ""Data Analysis"", ""Git""]","[""Data Science"", ""Software Development"", ""AI/ML""]","[""IT"", ""Software Development"", ""Data Science"", ""AI/ML""]","[""Odisha"", ""Bihar""]","[""Bhubaneswar"", ""Gaya""]",Hybrid,3,Academic project experience,"[""English"", ""Hindi"", ""Odia""]",Accessible workplace preferred,Rural
CAND2026-00038,Undergraduate,B.Tech,Information Technology,2027,7.1,"[""Python"", ""JavaScript"", ""React"", ""SQL"", ""Networking"", ""Git""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Assam""]","[""Guwahati""]",Remote,3,No prior experience,"[""English"", ""Hindi"", ""Assamese""]",No preference,Urban
CAND2026-00039,Undergraduate,B.Tech,Artificial Intelligence,2028,8.4,"[""Python"", ""Machine Learning"", ""Pandas"", ""Scikit-learn"", ""Data Analysis"", ""SQL""]","[""AI/ML"", ""Data Science""]","[""AI/ML"", ""Data Science"", ""Software Development""]","[""Karnataka""]","[""Bengaluru""]",On-site,4,No prior experience,"[""English"", ""Hindi"", ""Kannada""]",No preference,Urban
CAND2026-00040,Undergraduate,B.Tech,Mechanical Engineering,2026,5.8,"[""AutoCAD"", ""SolidWorks"", ""Manufacturing"", ""Quality Control"", ""MS Excel"", ""Testing""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Uttar Pradesh""]","[""Noida""]",Hybrid,6,Academic project experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00041,Undergraduate,B.Tech,Automobile Engineering,2027,7.1,"[""Automobile Engineering"", ""Diagnostics""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Bihar"", ""Jharkhand""]","[""Patna"", ""Jamshedpur""]",On-site,2,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
CAND2026-00042,Undergraduate,B.Tech,Electronics and Communication,2028,8.4,"[""Embedded C"", ""Microcontrollers""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Tripura""]","[""Agartala""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Bengali""]",No preference,Rural
CAND2026-00043,Undergraduate,B.Tech,Electrical Engineering,2026,5.8,"[""Electrical Safety"", ""Solar Energy""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Telangana""]","[""Hyderabad""]",Remote,3,Academic project experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Urban
CAND2026-00044,Undergraduate,B.Com,Commerce,2027,7.1,"[""MS Excel"", ""Accounting"", ""Tally"", ""Financial Analysis""]","[""Finance"", ""Accounting"", ""Banking""]","[""Finance"", ""Banking"", ""Marketing""]","[""Uttar Pradesh""]","[""Varanasi""]",On-site,4,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00045,Undergraduate,BBA,Business Administration,2028,8.4,"[""MS Excel"", ""Communication"", ""Financial Analysis"", ""Digital Marketing""]","[""Finance"", ""Marketing"", ""HR""]","[""Finance"", ""Marketing"", ""HR"", ""Logistics""]","[""Jharkhand"", ""Madhya Pradesh""]","[""Ranchi"", ""Indore""]",Hybrid,6,0-1 internship experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00046,Undergraduate,B.Sc.,Agriculture,2026,5.8,"[""Agriculture"", ""Field Survey"", ""Data Collection"", ""MS Excel""]","[""Agriculture Technology"", ""Rural Development"", ""Sustainability""]","[""Agriculture"", ""Rural Development"", ""Renewable Energy""]","[""Jammu and Kashmir""]","[""Srinagar""]",On-site,2,Academic project experience,"[""English"", ""Hindi"", ""Urdu""]",No preference,Rural
CAND2026-00047,Undergraduate,B.Sc.,Data Science,2027,7.1,"[""Python"", ""SQL"", ""Data Analysis"", ""Power BI""]","[""Data Science"", ""Business Intelligence"", ""AI/ML""]","[""Data Science"", ""AI/ML"", ""IT""]","[""Maharashtra""]","[""Pune""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Marathi""]",No preference,Rural
CAND2026-00048,Undergraduate,BCA,Computer Applications,2028,8.4,"[""Python"", ""JavaScript"", ""SQL"", ""React"", ""MS Excel"", ""Git""]","[""Software Development"", ""IT"", ""Data Science""]","[""Software Development"", ""IT"", ""Data Science""]","[""Rajasthan""]","[""Udaipur""]",Remote,3,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00049,Diploma,Diploma,Civil Engineering,2025,8.9,"[""AutoCAD"", ""Site Survey"", ""MS Excel"", ""Documentation"", ""Project Management"", ""Testing""]","[""Infrastructure"", ""Construction"", ""Urban Development""]","[""Infrastructure"", ""Manufacturing"", ""Renewable Energy""]","[""Madhya Pradesh"", ""Kerala""]","[""Bhopal"", ""Kochi""]",On-site,4,Academic project experience,"[""Hindi"", ""English""]",Accessible workplace preferred,Urban
CAND2026-00050,Diploma,Diploma,Electrical Engineering,2026,6.2,"[""Electrical Safety"", ""Solar Energy"", ""Testing"", ""Troubleshooting"", ""MS Excel"", ""AutoCAD""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Telecommunications""]","[""Himachal Pradesh""]","[""Shimla""]",Hybrid,6,No prior experience,"[""Hindi"", ""English""]",No preference,Urban
CAND2026-00051,Undergraduate,BA,Public Administration,2028,8.4,"[""MS Excel"", ""Documentation""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Maharashtra""]","[""Mumbai""]",On-site,2,No prior experience,"[""Hindi"", ""English"", ""Marathi""]",No preference,Rural
CAND2026-00052,Undergraduate,BA,Social Work,2026,5.8,"[""Field Survey"", ""Community Engagement""]","[""Rural Development"", ""Education"", ""Healthcare""]","[""Rural Development"", ""Education"", ""Healthcare"", ""Government""]","[""Gujarat""]","[""Surat""]",Hybrid,3,Academic project experience,"[""Hindi"", ""English"", ""Gujarati""]",No preference,Rural
CAND2026-00053,Undergraduate,B.Sc.,Nursing,2027,7.1,"[""Patient Support"", ""Documentation""]","[""Healthcare"", ""Public Health""]","[""Healthcare"", ""Government"", ""Education""]","[""Chhattisgarh"", ""Assam""]","[""Raipur"", ""Guwahati""]",Remote,3,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00054,Undergraduate,BA,Tourism,2028,8.4,"[""Customer Service"", ""Communication"", ""Tourism Operations"", ""Content Writing""]","[""Tourism"", ""Hospitality"", ""Marketing""]","[""Tourism"", ""Marketing"", ""Logistics""]","[""Andhra Pradesh""]","[""Visakhapatnam""]",On-site,4,No prior experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Urban
CAND2026-00055,Undergraduate,B.Tech,Computer Science,2026,5.8,"[""Python"", ""SQL"", ""Data Analysis"", ""Git""]","[""Data Science"", ""Software Development"", ""AI/ML""]","[""IT"", ""Software Development"", ""Data Science"", ""AI/ML""]","[""Tamil Nadu""]","[""Madurai""]",Hybrid,6,Academic project experience,"[""English"", ""Hindi"", ""Tamil""]",No preference,Urban
CAND2026-00056,Undergraduate,B.Tech,Information Technology,2027,7.1,"[""Python"", ""JavaScript"", ""React"", ""SQL""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Software Development"", ""Cybersecurity"", ""IT""]","[""Odisha""]","[""Bhubaneswar""]",On-site,2,0-1 internship experience,"[""English"", ""Hindi"", ""Odia""]",No preference,Rural
CAND2026-00057,Undergraduate,B.Tech,Artificial Intelligence,2028,8.4,"[""Python"", ""Machine Learning"", ""Pandas"", ""Scikit-learn""]","[""AI/ML"", ""Data Science""]","[""AI/ML"", ""Data Science"", ""Software Development""]","[""Assam"", ""Tripura""]","[""Guwahati"", ""Agartala""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Assamese""]",No preference,Rural
CAND2026-00058,Undergraduate,B.Tech,Mechanical Engineering,2026,5.8,"[""AutoCAD"", ""SolidWorks"", ""Manufacturing"", ""Quality Control"", ""MS Excel"", ""Testing""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Manufacturing"", ""Automobile"", ""Infrastructure""]","[""Karnataka""]","[""Bengaluru""]",Remote,3,Academic project experience,"[""English"", ""Hindi"", ""Kannada""]",No preference,Urban
CAND2026-00059,Undergraduate,B.Tech,Automobile Engineering,2027,7.1,"[""Automobile Engineering"", ""Diagnostics"", ""AutoCAD"", ""Testing"", ""Electrical Safety""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Automobile"", ""Manufacturing"", ""Renewable Energy""]","[""Uttar Pradesh""]","[""Noida""]",On-site,4,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00060,Undergraduate,B.Tech,Electronics and Communication,2028,8.4,"[""Embedded C"", ""Microcontrollers"", ""Networking"", ""PCB Design"", ""Troubleshooting"", ""Arduino""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Electronics"", ""Telecommunications"", ""IT""]","[""Bihar""]","[""Patna""]",Hybrid,6,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00061,Undergraduate,B.Tech,Electrical Engineering,2026,5.8,"[""Electrical Safety"", ""Solar Energy""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Tripura"", ""Jammu and Kashmir""]","[""Agartala"", ""Srinagar""]",On-site,2,Academic project experience,"[""English"", ""Hindi"", ""Bengali""]",Accessible workplace preferred,Rural
CAND2026-00062,Undergraduate,B.Com,Commerce,2027,7.1,"[""MS Excel"", ""Accounting""]","[""Finance"", ""Accounting"", ""Banking""]","[""Finance"", ""Banking"", ""Marketing""]","[""Telangana""]","[""Hyderabad""]",Hybrid,3,No prior experience,"[""English"", ""Hindi"", ""Telugu""]",No preference,Rural
CAND2026-00063,Undergraduate,BBA,Business Administration,2028,8.4,"[""MS Excel"", ""Communication""]","[""Finance"", ""Marketing"", ""HR""]","[""Finance"", ""Marketing"", ""HR"", ""Logistics""]","[""Uttar Pradesh""]","[""Varanasi""]",Remote,3,No prior experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00064,Undergraduate,B.Sc.,Agriculture,2026,5.8,"[""Agriculture"", ""Field Survey"", ""Data Collection"", ""MS Excel""]","[""Agriculture Technology"", ""Rural Development"", ""Sustainability""]","[""Agriculture"", ""Rural Development"", ""Renewable Energy""]","[""Jharkhand""]","[""Ranchi""]",On-site,4,Academic project experience,"[""English"", ""Hindi""]",No preference,Urban
CAND2026-00065,Undergraduate,B.Sc.,Data Science,2027,7.1,"[""Python"", ""SQL"", ""Data Analysis"", ""Power BI""]","[""Data Science"", ""Business Intelligence"", ""AI/ML""]","[""Data Science"", ""AI/ML"", ""IT""]","[""Jammu and Kashmir"", ""Himachal Pradesh""]","[""Srinagar"", ""Shimla""]",Hybrid,6,No prior experience,"[""English"", ""Hindi"", ""Urdu""]",No preference,Urban
CAND2026-00066,Undergraduate,BCA,Computer Applications,2028,8.4,"[""Python"", ""JavaScript"", ""SQL"", ""React""]","[""Software Development"", ""IT"", ""Data Science""]","[""Software Development"", ""IT"", ""Data Science""]","[""Maharashtra""]","[""Pune""]",On-site,2,No prior experience,"[""English"", ""Hindi"", ""Marathi""]",No preference,Rural
CAND2026-00067,Diploma,Diploma,Civil Engineering,2027,5.9,"[""AutoCAD"", ""Site Survey"", ""MS Excel"", ""Documentation""]","[""Infrastructure"", ""Construction"", ""Urban Development""]","[""Infrastructure"", ""Manufacturing"", ""Renewable Energy""]","[""Rajasthan""]","[""Udaipur""]",Hybrid,3,0-1 internship experience,"[""Hindi"", ""English""]",No preference,Rural
CAND2026-00068,Diploma,Diploma,Electrical Engineering,2028,7.0,"[""Electrical Safety"", ""Solar Energy"", ""Testing"", ""Troubleshooting"", ""MS Excel"", ""AutoCAD""]","[""Renewable Energy"", ""Electronics"", ""Infrastructure""]","[""Renewable Energy"", ""Electronics"", ""Telecommunications""]","[""Madhya Pradesh""]","[""Bhopal""]",Remote,3,No prior experience,"[""Hindi"", ""English""]",No preference,Urban
CAND2026-00069,Undergraduate,BA,Public Administration,2028,8.4,"[""MS Excel"", ""Documentation"", ""Communication"", ""Research"", ""Data Entry"", ""Digital Literacy""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Government"", ""E-Governance"", ""Rural Development""]","[""Himachal Pradesh"", ""Andhra Pradesh""]","[""Shimla"", ""Visakhapatnam""]",On-site,4,No prior experience,"[""Hindi"", ""English""]",No preference,Urban
CAND2026-00070,Undergraduate,BA,Social Work,2026,5.8,"[""Field Survey"", ""Community Engagement"", ""Communication"", ""Data Collection"", ""Documentation"", ""MS Excel""]","[""Rural Development"", ""Education"", ""Healthcare""]","[""Rural Development"", ""Education"", ""Healthcare"", ""Government""]","[""Maharashtra""]","[""Mumbai""]",Hybrid,6,Academic project experience,"[""Hindi"", ""English"", ""Marathi""]",No preference,Urban
CAND2026-00071,Undergraduate,B.Sc.,Nursing,2027,7.1,"[""Patient Support"", ""Documentation""]","[""Healthcare"", ""Public Health""]","[""Healthcare"", ""Government"", ""Education""]","[""Gujarat""]","[""Surat""]",On-site,2,No prior experience,"[""English"", ""Hindi"", ""Gujarati""]",No preference,Rural
CAND2026-00072,Undergraduate,BA,Tourism,2028,8.4,"[""Customer Service"", ""Communication""]","[""Tourism"", ""Hospitality"", ""Marketing""]","[""Tourism"", ""Marketing"", ""Logistics""]","[""Chhattisgarh""]","[""Raipur""]",Hybrid,3,No prior experience,"[""English"", ""Hindi""]",No preference,Rural
